wavelength_um,power_o1,power_o2
1.54004004004004,0.042216535208674355,0.9470686181625947
1.5401401401401402,0.055646899306745816,0.9312494391983452
1.5402402402402402,0.07658673486241635,0.9065054247372467
1.5403403403403404,0.11153848793254859,0.8648160675730566
1.5404404404404404,0.17471482207387595,0.78993579925741
1.5405405405405406,0.29794931880216413,0.6403999617595102
1.5406406406406408,0.5416467171301137,0.35069114178679617
1.5407407407407407,0.8019925494597931,0.0227074975353105
1.540840840840841,0.6653577756952832,0.18863724899551546
1.540940940940941,0.3753602685737196,0.5352329866463876
1.5410410410410411,0.21431690111973833,0.7311170399600172
1.541141141141141,0.1325783509157186,0.8304040278767258
1.5412412412412413,0.0890296332099546,0.8839783626470468
1.5413413413413415,0.0635600607891523,0.9152293547689786
1.5414414414414415,0.04761150551474358,0.9349770492232417
1.5415415415415417,0.03702613819694813,0.9481118143019727
1.5416416416416416,0.029666244432555715,0.9572884333825326
1.5417417417417418,0.024356427943262704,0.9639377437976495
1.5418418418418418,0.020405459388216998,0.9689074897762607
1.541941941941942,0.017390232913976993,0.9727182048641496
1.542042042042042,0.01503921545761091,0.9757039168932791
1.5421421421421422,0.013172629753666638,0.9780844426728098
1.5422422422422424,0.011667368607364554,0.9800152999888713
1.5423423423423424,0.010437129616056445,0.9816015972799653
1.5424424424424426,0.00941995913347898,0.9829199799994074
1.5425425425425425,0.00857043657233173,0.9840283989504408
1.5426426426426427,0.007854685858091544,0.9849666429623299
1.5427427427427427,0.00724709562241085,0.9857689935813686
1.542842842842843,0.006727939868885809,0.9864597834138501
1.5429429429429429,0.0062818980648294475,0.9870579454896183
1.543043043043043,0.00589690711113677,0.9875786175302381
1.5431431431431433,1.6603429368387024,4.760546795272496
1.5432432432432432,,
1.5433433433433434,0.005021351572877897,0.9887843986359726
1.5434434434434434,0.004801608849892989,0.9890954282127626
1.5435435435435436,0.004610228152406184,0.9893685294807448
1.5436436436436436,0.004443804432840248,0.9896120947865138
1.5437437437437438,0.004299521221305512,0.9898247666743867
1.543843843843844,0.004175059311451552,0.9900149066168471
1.543943943943944,0.004068528388530713,0.9901805077398375
1.5440440440440442,0.003978323139677423,0.990326277466875
1.5441441441441441,0.003903179490736267,0.9904523857524599
1.5442442442442443,0.003842036876481095,0.9905616259066652
1.5443443443443443,0.0037940702416129454,0.9906541511836258
1.5444444444444445,0.0037586283229914335,0.990731506065573
1.5445445445445445,0.0037352567950293242,0.9907925939141748
1.5446446446446447,0.0037236360542048695,0.9908399309702602
1.5447447447447449,0.0037235974513787715,0.9908740668213583
1.5448448448448449,0.0037351224380660795,0.9908938491226325
1.544944944944945,0.003758340449990976,0.9908999915658648
1.545045045045045,0.003793518491479649,0.9908919136096512
1.5451451451451452,0.003841096244394552,0.9908684166416525
1.5452452452452452,0.0039016337319610194,0.9908311433270997
1.5453453453453454,0.0039759357567490106,0.990776088696073
1.5454454454454454,0.00406495042643982,0.9907061790396258
1.5455455455455456,0.0041698750914159555,0.9906163371459562
1.5456456456456458,0.004292196827488644,0.9905072384253305
1.5457457457457457,0.004433698586177185,0.9903746670890609
1.545845845845846,0.004596490343279163,0.9902207013346772
1.545945945945946,0.0047832117760394375,0.9900362704494146
1.5460460460460461,0.0049969347871345795,0.9898236247025278
1.546146146146146,0.005241496716513205,0.9895753253576308
1.5462462462462463,0.005521486822776098,0.9892841456773295
1.5463463463463465,0.005842488515251971,0.9889499139651308
1.5464464464464465,0.006211435420001178,0.9885600034472583
1.5465465465465467,0.006636841381648003,0.9881048995090691
1.5466466466466466,0.007129373665450412,0.9875708925821644
1.5467467467467468,0.007702365146220733,0.9869471797765135
1.5468468468468468,0.008372868686767393,0.9862135603192994
1.546946946946947,0.009162708361726982,0.9853389723200624
1.547047047047047,0.010100382891410823,0.9842987041780933
1.5471471471471472,0.01122350101876898,0.9830422504772635
1.5472472472472474,0.012582445035888472,0.9815091218115167
1.5473473473473474,0.01424596585555864,0.9796279471130965
1.5474474474474476,0.016310001580202897,0.977280750750763
1.5475475475475475,0.018911173953825605,0.9743055901236691
1.5476476476476477,0.022248777765982403,0.9704716545804996
1.5477477477477477,0.02662391155217773,0.9654242554803247
1.547847847847848,0.03250515407236701,0.9586087764753192
1.5479479479479479,0.04065499285455757,0.9491224626123795
1.548048048048048,0.05236965448693805,0.9354412068390964
1.5481481481481483,0.06998458961584776,0.9147425056124282
1.5482482482482482,0.0980186142227239,0.881781889212834
1.5483483483483484,0.14561787827785339,0.8253226074675467
1.5484484484484484,0.23354689483045094,0.7210236090025408
1.5485485485485486,0.40200843075175924,0.5196060438095871
1.5486486486486486,0.6858737319694362,0.17953338854828244
1.5487487487487488,0.8104682909541986,0.018765271332423922
1.548848848848849,0.564213954424717,0.316636113721945
1.548948948948949,0.3215437397847995,0.603414346829374
1.5490490490490492,0.19237843028652882,0.7602041184451858
1.5491491491491491,0.12430928017629503,0.8420963389495907
1.5492492492492493,0.08606350925618934,0.8886927862429095
1.5493493493493493,0.06290515564754177,0.916895023953022
1.5494494494494495,0.047955355654030356,0.9352031800028991
1.5495495495495495,0.03780888007389558,0.9476763039291217
1.5496496496496497,0.030627038993613208,0.9565401287640826
1.5497497497497499,0.02536952136941641,0.9630514122889634
1.5498498498498499,0.021411578186242106,0.9679728322983164
1.54994994994995,0.018361058136830657,0.9717843159945113
1.55005005005005,0.015962676582894433,0.9747933869432862
1.5501501501501502,0.014044963599410192,0.9772086150267443
1.5502502502502502,0.01248902773904141,0.9791751891473887
1.5503503503503504,0.011210731051582788,0.9808022087105722
1.5504504504504504,0.010148922247986514,0.9821592337499179
1.5505505505505506,0.009258459394896073,0.9832994548400925
1.5506506506506508,0.008505558345735308,0.9842718752940254
1.5507507507507508,0.007864446273968043,0.9851079920800718
1.550850850850851,0.007314998494257301,0.9858240878701583
1.550950950950951,0.006841810727712698,0.9864468604754705
1.5510510510510511,0.00643238961374054,0.9869906500774464
1.551151151151151,0.006077029901209877,0.9874662273051346
1.5512512512512513,0.005767687429054257,0.9878821806603967
1.5513513513513515,0.00549798837498968,0.9882500743664691
1.5514514514514515,0.005262721991023837,0.988573291705795
1.5515515515515517,0.0050575200388808415,0.9888596928533073
1.5516516516516516,0.004878864641713075,0.9891135430963959
1.5517517517517518,0.004442295541572295,1.0002905511065225
1.5518518518518518,0.004590007817743553,0.9895339617758089
1.551951951951952,0.004475330925113712,0.9897084012434075
1.5520520520520522,0.004378191860210343,0.9898579341234418
1.5521521521521522,0.0042971900143410485,0.9899891195587748
1.5522522522522524,0.004231271985488452,0.9901009422043299
1.5523523523523524,0.004179556231180997,0.9901964815839255
1.5524524524524526,0.004141329344910612,0.9902751243333218
1.5525525525525525,0.004116104610719777,0.9903350135508127
1.5526526526526527,0.004103571553798485,0.990383414702144
1.5527527527527527,0.004103557103715679,0.9904144823524808
1.552852852852853,0.004116024674140467,0.9904331260047203
1.552952952952953,0.004141088317662016,0.9904341182197708
1.553053053053053,0.00417908229604097,0.9904205753392745
1.5531531531531533,0.004230433648498131,0.9903920841718987
1.5532532532532533,0.004295761451783975,0.9903492239296566
1.5533533533533534,0.004375887363915282,0.9902872490407761
1.5534534534534534,0.004471801737747083,0.9902043650026232
1.5535535535535536,0.004584815833789388,0.9901047565253893
1.5536536536536536,0.004716452924659574,0.9899840914222464
1.5537537537537538,0.00486857740172159,0.9898414142909846
1.553853853853854,0.0050434457100837615,0.989671194937763
1.553953953953954,0.0052437606613506965,0.9894702690814072
1.5540540540540542,0.005472799793359038,0.9892406840983431
1.5541541541541541,0.005734489593773945,0.9889693953049954
1.5542542542542543,0.00603361777855476,0.9886593233899471
1.5543543543543543,0.0063760006389515555,0.9883000621923808
1.5544544544544545,4.696111814623563e+30,4.7717096948422467e+30
1.5545545545545547,0.007220620395422764,0.9873962313482504
1.5546546546546547,0.007742552205387952,0.9868321114545349
1.5547547547547549,0.008348182630594215,0.9861757297849358
1.5548548548548549,0.009054748457473229,0.9853992727777153
1.554954954954955,0.009884393476825551,0.9844858671300337
1.555055055055055,0.010865641150339911,0.9833963301616585
1.5551551551551552,0.012035993007322153,0.9820901961704628
1.5552552552552552,0.013445360790500021,0.9805091830318315
1.5553553553553554,0.015161325833769636,0.9785760425857264
1.5554554554554556,0.017277136340831053,0.9761838232160531
1.5555555555555556,0.019924233179380798,0.973178771654135
1.5556556556556558,0.023291909134892586,0.9693289835035644
1.5557557557557558,0.0276622259122578,0.9643205721944879
1.555855855855856,0.03346654049512576,0.9576422622606073
1.555955955955956,0.04139219610879187,0.9484897861764354
1.5560560560560561,0.052578184298552995,0.9355273531371713
1.556156156156156,0.06902358042384936,0.916381159709462
1.5562562562562563,0.09441056911613313,0.8867701699195233
1.5563563563563565,0.13603284135234145,0.8378603271522934
1.5564564564564565,0.2092103362432031,0.7521185437868301
1.5565565565565567,0.34470350916291265,0.5909505891549995
1.5566566566566566,0.5872099996434041,0.30557009071989905
1.5567567567567568,0.819873628158102,0.019631610974557786
1.5568568568568568,0.7054810647729882,0.1546343621058947
1.556956956956957,0.4304072920586421,0.4787452495501056
1.5570570570570572,0.25618160398005346,0.6859900410769423
1.5571571571571572,0.16213059211286152,0.79831489131691
1.5572572572572574,0.11012107277856076,0.8607961945180567
1.5573573573573574,0.07913654877558512,0.8980581779879981
1.5574574574574576,0.059515574082380264,0.9217908845869835
1.5575575575575575,0.046394550764794394,0.9376942316381027
1.5576576576576577,0.0372295762946055,0.9488496509447056
1.5577577577577577,0.03059431104277173,0.9569540595285957
1.557857857857858,0.02564477481651563,0.9630191299157989
1.557957957957958,0.021860248889257427,0.9676726495055099
1.558058058058058,0.018905192781497396,0.9713227017216998
1.5581581581581583,0.016556134568290703,0.9742320932743033
1.5582582582582583,0.014660013323162295,0.9765938057670007
1.5583583583583585,0.01310886091062147,0.9785339019624005
1.5584584584584584,0.011825190845166261,0.9801431553299765
1.5585585585585586,0.010286676466345807,0.9907710558157831
1.5586586586586586,0.009847665981483521,0.9826426322320891
1.5587587587587588,37.88432968326321,33.33061272453372
1.558858858858859,0.00842152312977961,0.9844594403999594
1.558958958958959,0.007856086860429781,0.9851865002515684
1.5590590590590592,0.007367438964999761,0.9858207088635416
1.5591591591591591,0.006943512986146402,0.9863755566354093
1.5592592592592593,0.006574511531448106,0.9868598861160705
1.5593593593593593,0.006252715307873477,0.9872887975280573
1.5594594594594595,0.005971639723161957,0.9876661038023329
1.5595595595595597,1051.5152774024439,1074.92499002408
1.5596596596596597,0.005511662234847701,0.9882927290405267
1.55975975975976,0.005324872172726691,0.9885517241753219
1.5598598598598599,0.005162750618505101,0.9887778469549219
1.55995995995996,0.005022867381895378,0.9889811686531801
